word,meaning,level,chunk,chunk_meaning
accreditation,認定,32,international accreditation for the program,そのプログラムの国際認定
accrue,積み重なる,32,benefits accrue over time,利益が時間とともに積み重なる
accumulate,重なる；重ねる；嵩む,16,accumulate evidence slowly,証拠を少しずつ集める
accumulation,鬱積；集積；積立,16,the accumulation of small debts,小さな借金の蓄積
accuracy,正確度；正誤；精度,8,improve the accuracy of the data,データの正確さを高める
accurate,整然；正確；精密,8,an accurate description of the event,その出来事の正確な説明
accurately,卒なく；整然；正々,8,measure the distance accurately,距離を正確に測る
accusation,公訴；告訴；弾劾,16,a serious accusation against the minister,その大臣に対する重大な告発
accuse,責める；責め立てる；訴人,8,accuse him of cheating,彼を不正行為で責める
accused,刑事被告；刑事被告人；被告,16,the accused student in the case,その事件で告発された生徒
acerbic,辛辣な、厳しい,32,an acerbic comment about the plan,その計画についての辛辣なコメント
achieve,為す；果たす；遣り通す,2,achieve a long-term goal,長期目標を達成する
achievement,業績；功業；功績,4,a major achievement in medicine,医学における大きな業績
acid,酸；アシッド；酸い,8,acid in the stomach,胃の中の酸
acid,酸い；酸っぱい；酸,16,an acid taste in the sauce,そのソースの酸っぱい味
acknowledge,許す；信認；認める,8,acknowledge his mistake honestly,彼の間違いを正直に認める
acquiesce,アクイエス,32,acquiesce in the final decision,最終決定をしぶしぶ受け入れる
acquiescence,黙従；黙認,32,silent acquiescence in the plan,その計画への黙認
acquire,覚える；仕込む；取る,8,acquire practical language skills,実用的な語学力を身につける
acquisition,獲得；取得；入手,16,the acquisition of new knowledge,新しい知識の獲得
acquit,アクイット,32,acquit the defendant of murder,被告人に殺人罪の無罪を言い渡す
acre,エーカー,8,an acre of fertile land,1エーカーの肥沃な土地
acrimonious,とげとげしい、辛辣な,32,an acrimonious debate over taxes,税金をめぐるとげとげしい論争
acrimony,辛辣さ、険悪さ,32,acrimony between the two leaders,2人の指導者の間の険悪さ
across,〜を横切って,1,walk across the bridge,橋を歩いて渡る
act,演じる；興行；勤める,2,act with courage under pressure,重圧の中で勇気をもって行動する
act,興行；業；行為,4,a brave act of kindness,親切心からの勇敢な行為
action,行動,1,quick action in an emergency,緊急時の素早い行動
activate,アクティブ化,8,activate the emergency alarm,非常警報を作動させる
activation,活性化；活発化；起動,16,activation of the immune system,免疫系の活性化
active,活発；主体的；盛ん,2,an active role in the project,そのプロジェクトでの積極的な役割
activist,活動家；活動者；運動者,16,a local activist for clean water,きれいな水を求める地元の活動家
